CodAuto;Identificação;Extensão;km inicial;km final;Tipo de Bueiro;Forma;Rodovia;MONTANTE;;;;;;;JUSANTE;;;;;;ESTADO DE CONSERVAÇÃO MONTANTE;;;;;;;;;;;ESTADO DE CONSERVAÇÃO JUSANTE;;;;;;;;;;Data;FOTOS;;FOTOS;
;;;;;;;;Dimensões (m);Lado;Dispositivo entrada;Material;Estado de Conservação;Coord. Montante (X);Coord. Montante (Y);Dimensões (m);Lado;Estrutura de saída;Material;Estado de Conservação;Coord. Jusante (X);Coord. Jusante (Y);OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;;Montante;Montante pan.;Jusante;Jusante pan.
47;BU 101 ES 000+170 S 1;22,21;000+170;000+180;ALA;CELULAR;;2x2;SUL;TESTA COM ALA;CONCRETO;Regular;-20,7880252355294;-40,7844917444633;2x2;NORTE;TESTA COM ALA;CONCRETO;Bom;-20,7881826659547;-40,7846232767948;;X;;;;;;;;;X;;;;;;;;;;27/9/2020;;;;
48;BU 101 ES 000+180 N 1;23,96;000+180;000+190;CX/ALA;TUBULAR;;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Regular;-20,7879973;-40,78497389;ø0,8;NORTE;TESTA COM ALA;CONCRETO;Regular;-20,7881431084922;-40,784804180631;;X;;;;;;;;;;X;;;;;;;;;27/9/2020;;;;
49;BU 101 ES 000+200 N 1;12,93;000+200;000+200;CX/ALA;TUBULAR;;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Regular;-20,78810809;-40,78509912;ø0,8;NORTE;TESTA COM ALA;CONCRETO;Regular;-20,7881948392744;-40,7850163236583;;X;;;;;;;;;;X;;;;;;;;;27/9/2020;;;;
50;BU 101 ES 000+220 S 1;19,23;000+220;000+230;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1774263371939;-39,9200855819841;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1775913559612;-39,9201399762085;;;;;;;;;;X;;X;;;;;;;;;26/9/2020;;;;
51;BU 101 ES 000+230 S 1;22,46;000+230;000+240;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1775913559612;-39,9201399762085;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1777678289983;-39,9202434951179;;X;;;;;;;;;;X;;;;;;;;X;26/9/2020;;;;
52;BU 101 ES 000+240 S 1;18,82;000+240;000+250;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1777678289983;-39,9202434951179;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1778927795773;-39,9203636494576;;X;;;;;;;;X;X;;;;;;;;;;26/9/2020;;;;
53;BU 101 ES 000+250 S 1;29,38;000+250;000+270;CX/ALA;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1778927795773;-39,9203636494576;ø0,6;SUL;TUBULAÇÃO EXPOSTA;CONCRETO;Bom;-18,1780831;-39,9205566;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
54;BU 101 ES 000+380 N 1;63,25;000+380;000+400;ALA;CELULAR;;2,5x2,5;NORTE;TESTA COM ALA;CONCRETO;Regular;-20,7889497967537;-40,7862308348842;2,5x2,5;SUL;TESTA COM ALA;CONCRETO;Bom;-20,78891366;-40,78683802;;X;;;;;;;;;X;;;;;;;;;;27/9/2020;;;;
55;BU 101 ES 000+500 C 1;23,67;000+500;000+500;CX/ALA;TUBULAR;;ø0,8;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Bom;-20,7897666084143;-40,7872257738415;ø0,8;SUL;TESTA COM ALA;CONCRETO;Bom;-20,78966479;-40,78742569;X;;;;;;;;;;X;;;;;;;;;;27/9/2020;;;;
56;BU 101 ES 000+610 S 1;68,66;000+610;000+640;ALA/CX;TUBULAR;;ø1,2;SUL;TESTA COM ALA;CONCRETO;Regular;-20,7905575;-40,7878071;ø1,2;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Regular;-20,79117203;-40,7877427;;X;;;;;;;;;;X;;;;;;;;;8/10/2020;;;;
57;BU 101 ES 000+620 S 1;27,37;000+620;000+640;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;CONCRETO;Bom;-20,790647;-40,787899;ø1,2;SUL;TESTA COM ALA;CONCRETO;Regular;-20,79089315;-40,78789955;X;;;;;;;;;;;X;;;;;;;;;8/10/2020;;;;
58;BU 101 ES 000+640 C 1;45,81;000+640;000+670;CX/ALA;TUBULAR;;ø1,2;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Regular;-20,79117203;-40,7877427;ø1,2;NORTE;TESTA COM ALA;CONCRETO;Regular;-20,7915587390945;-40,7875906719209;;X;;;;;;;;;;X;;;;;;;;;27/9/2020;;;;
59;BU 101 ES 000+800 S 1;20,2;000+800;000+800;ALA;TUBULAR;;ø1,2;SUL;TESTA COM ALA;CONCRETO;Bom;-18,1818993;-39,9222935;ø1,2;NORTE;TESTA COM ALA;CONCRETO;Regular;-18,1819269601135;-39,9221044746132;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
60;BU 101 ES 000+970 C 1;-;000+970;-;CX/-;TUBULAR/-;;ø1,2;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Regular;-20,79379861;-40,78817969;-;-;-;-;-;-;-;;X;;;;;;;;;;;;;;;;;;;27/9/2020;;;;
61;BU 101 ES 001+220 N 1;44,95;001+220;001+230;ALA;CELULAR;;2x2;NORTE;TESTA COM ALA;CONCRETO;Bom;-20,7956916815041;-40,7893001952287;2x2;SUL;TESTA COM ALA;CONCRETO;Bom;-20,79584499;-40,78970028;X;;;;;;;;;;X;;;;;;;;;;27/9/2020;;;;
62;BU 101 ES 001+460 C 1;30,34;001+460;001+450;CX/ALA;TUBULAR;;ø1;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Bom;-20,7979047;-40,7897263;ø1;SUL;TESTA COM ALA;CONCRETO;Regular;-20,7978083;-40,7899993;X;;;;;;;;;;;X;;;;;;;;;22/9/2020;;;;
63;BU 101 ES 001+460 N 1;28,98;001+460;001+460;ALA/CX;TUBULAR;;ø1;NORTE;TESTA COM ALA;CONCRETO;Bom;-20,7980243;-40,7894786;ø1;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Bom;-20,7979047;-40,7897263;X;;;;;;;;;;X;;;;;;;;;;22/9/2020;;;;
64;BU 101 ES 001+610 C 1;11,08;001+610;001+610;CX/ALA;TUBULAR;;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Regular;-20,7994726;-40,7890712;ø0,6;NORTE;TESTA COM ALA;CONCRETO;Bom;-20,7994004;-40,7889977;;X;;;;;;;;;X;;;;;;;;;;22/9/2020;;;;
65;BU 101 ES 001+610 C 2;14,45;001+610;001+620;CX;TUBULAR;;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Regular;-20,7994726;-40,7890712;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Bom;-20,7995873;-40,7890058;;X;;;;;;;;;X;;;;;;;;;;22/9/2020;;;;
66;BU 101 ES 001+620 C 1;10,55;001+620;001+630;CX;TUBULAR;;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Bom;-20,7995873;-40,7890058;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Regular;-20,7996819;-40,7889983;X;;;;;;;;;;;X;;;;;;;;;22/9/2020;;;;
67;BU 101 ES 001+630 C 1;10,91;001+630;001+640;CX;TUBULAR;;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Regular;-20,7996819;-40,7889983;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Bom;-20,79977;-40,7889521;;X;;;;;;;;;X;;;;;;;;;;22/9/2020;;;;
68;BU 101 ES 001+640 C 1;15,03;001+640;001+650;CX;TUBULAR;;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Bom;-20,79977;-40,7889521;ø0,6;CANTEIRO CENTRAL;CAIXA COLETORA;METALICO;Regular;-20,7999039;-40,7889326;X;;;;;;;;;;;X;;;;;;;;;22/9/2020;;;;
